Item / File	Filament	Model Filament		Support Filament		Purged		Tower		Print Time		Total Filament
		Metres	Grams	Metres	Grams	Metres	Grams	Metres	Grams	Hrs	Min	Metres	Grams
UNOCardNEW.3mf Insert	Generic PLA Red										0	0.00	0.00
UNOCardNEW.3mf Insert	SA Filament: Silk PLA - Yellow Gold										0	0.00	0.00
UNOCardNEW.3mf Insert	Generic PLA White	24.64									0	24.64	0.00
UNOCardNEW.3mf Insert	Generic PLA White	43.59	130.01							4	19	43.59	130.01
P300 CupHolder V3 Final.3mf	Generic PLA Black	57.76	172.28							4	11	57.76	172.28
P300 CupHolder V4 153 x 93 Final.3mf	Generic PLA Black	56.24	167.75							4	54	56.24	167.75
P300 CupHolder V4 153 x 94 Size Adujustment Final.3mf	Generic PLA Black	112.48	335.50							9	50	112.48	335.50
P300 CupHolder V4 153 x 94 Size Adujustment & Hilbert Curve top Layer Final.3mf	Generic PLA Black	112.48	335.50							10	29	112.48	335.50
Pil Box Sunday 	SA Filament: Silk PLA - Yellow Gold	67.18	170.56							6	14	67.18	170.56
ikea+Skadis+storage+box.3mf	Generic PLA Black	15.10	45.04							1	37	15.10	45.04
Cap_V2 unbranded.3mf											0	0.00	0.00
 repisa_calavera.3mf	Generic PLA Black	13.26	39.54	0.24	0.70					1	21	13.50	40.24
P300 CupHolder V5 152 x 93 x 60 Size Adujustment & Hilbert Curve top Layer Final dated 22 May 2026.3mf	SA Filament: Dual PLA - Smokey Wine	52.56	160.56							5	14	52.56	160.56
Tape measare holder		7.66	22.83							1	18	7.66	22.83
Tupper sleave insert	Generic PLA White	14.60	46.35							1	14	14.60	46.35
Crevice Tool set												0.00	0.00
Mini Raptor + Separate Eyes (set of 2)	Generic PLA White	8.47	25.27	1.13	3.37					1	50	9.60	28.64
Mini Raptor + Separate Eyes (set of 2)	Multi Colour Rainbow	8.47	25.27	1.13	3.37					1	50	9.60	28.64
Toothless dragon	Generic PLA Black	2.59	7.71	0.08	0.25			2.04	6.08		55	4.71	14.04
Octopus v3	SA Filament: Silk PLA - Yellow Gold	10.15	30.28							2	32	10.15	30.28
NameTag Hanroux	Generic PLA White	1.24	3.69			0.05	0.14	0.11	0.33		23	1.40	4.16
	SA Filament: PLA - Air Force Blue	0.80	0.83			0.08	0.25	0.02	0.06		1	0.90	1.14
Dummy	Generic PLA Red	5.39	16.08	0.08	0.23					1		5.47	16.31
Click Fidget (Assemble)	SA Filament: PLA - Blue	5.01	14.95	0.66	1.96							5.67	16.91
Flexi Shark	SA Filament: PLA - Blue	2.82	8.41									2.82	8.41
Multi Color Dragon	Generic PLA Red	16.93	50.49							2	52	16.93	50.49
Stegosaurus	Generic PLA Red	9.00										9.00	0.00
Flexi Shark (Set of 10)	SA Filament: Silk PLA - Orange	34.06	101.59							6	34	34.06	101.59
0	Black	59.02	176.02							9	59	59.02	176.02
											0	0.00	0.00
